               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11224,            0.029533,                   0,           0.0021569,             0.64706,            0.002767,          0.00052321,            0.093453,            0.019643,                   0,              0.0856,              0.0016,              0.0016
                   1,            0.088079,             0.02657,                   0,            0.033842,             0.35294,            0.045911,            0.010895,            0.070437,            0.015825,                   0,            0.070218,           0.0032183,           0.0032183
                   2,            0.077155,             0.02441,                   0,             0.32098,             0.55882,              0.3955,              0.1267,            0.067066,            0.012302,                   0,            0.054753,           0.0047525,           0.0047525
                   3,            0.071564,             0.02147,                   0,             0.05144,             0.32353,            0.027253,           0.0060128,            0.073387,           0.0097891,                   0,            0.039203,           0.0062025,           0.0062025
                   4,            0.069479,            0.019019,                   0,             0.39257,             0.58824,             0.48846,             0.18598,            0.055142,            0.010494,                   0,            0.023568,           0.0075684,           0.0075684
                   5,            0.062456,            0.019532,                   0,             0.25381,             0.61765,             0.37201,            0.094629,            0.064374,           0.0093732,                   0,           0.0087625,           0.0087625,           0.0087625
                   6,            0.061133,            0.019718,                   0,             0.73049,             0.44118,             0.52933,            0.095617,            0.054187,           0.0089668,                   0,           0.0087625,           0.0087625,           0.0087625
                   7,            0.055447,            0.018828,                   0,             0.56767,             0.67647,             0.68549,             0.30149,            0.064001,           0.0082065,                   0,            0.008515,            0.008515,            0.008515
                   8,            0.050738,            0.020462,                   0,             0.81517,             0.61765,              0.7897,             0.37308,            0.053956,           0.0079354,                   0,           0.0082675,           0.0082675,           0.0082675
                   9,            0.047498,              0.0185,                   0,             0.79684,             0.76471,             0.86336,             0.42827,            0.052494,           0.0072334,                   0,             0.00802,             0.00802,             0.00802
                  10,             0.04573,            0.016264,                   0,             0.88781,             0.85294,             0.93925,             0.41801,            0.041351,           0.0068297,                   0,           0.0077725,           0.0077725,           0.0077725
                  11,            0.045651,            0.015299,                   0,             0.93217,             0.79412,             0.90806,             0.51782,            0.052329,           0.0059949,                   0,            0.007525,            0.007525,            0.007525
                  12,            0.043282,            0.015205,                   0,             0.90848,             0.87598,             0.95998,              0.6405,            0.039539,           0.0059934,                   0,           0.0072775,           0.0072775,           0.0072775
                  13,            0.040186,            0.014554,                   0,             0.93907,             0.90669,             0.97033,             0.57416,             0.03404,            0.005583,                   0,             0.00703,             0.00703,             0.00703
                  14,            0.037267,            0.013847,                   0,              0.9399,             0.97059,             0.97459,              0.5234,            0.033826,           0.0052578,                   0,           0.0067825,           0.0067825,           0.0067825
                  15,            0.037144,            0.011941,                   0,             0.95508,             0.97059,             0.98207,             0.67504,            0.035501,           0.0050015,                   0,            0.006535,            0.006535,            0.006535
                  16,            0.038752,            0.013568,                   0,             0.94263,             0.96659,             0.98443,             0.67244,             0.02644,           0.0048153,                   0,           0.0062875,           0.0062875,           0.0062875
                  17,             0.03584,            0.013679,                   0,             0.91237,             0.94118,             0.97984,             0.66804,            0.027877,           0.0046202,                   0,             0.00604,             0.00604,             0.00604
                  18,            0.035061,            0.011281,                   0,             0.92224,             0.88235,             0.97376,             0.71597,            0.027681,           0.0044367,                   0,           0.0057925,           0.0057925,           0.0057925
                  19,            0.031386,            0.011332,                   0,             0.96233,             0.94118,             0.98028,             0.76582,            0.027737,           0.0041522,                   0,            0.005545,            0.005545,            0.005545
                  20,            0.030794,            0.010148,                   0,              0.9123,             0.91802,             0.97707,             0.71004,            0.029142,           0.0041658,                   0,           0.0052975,           0.0052975,           0.0052975
                  21,            0.029543,            0.010322,                   0,             0.98239,             0.88235,             0.97744,             0.71778,            0.025503,           0.0041492,                   0,             0.00505,             0.00505,             0.00505
                  22,            0.027552,            0.010367,                   0,              0.9348,             0.91176,             0.96939,             0.70506,            0.025854,           0.0040791,                   0,           0.0048025,           0.0048025,           0.0048025
                  23,            0.031193,           0.0096655,                   0,             0.91335,             0.93022,              0.9741,             0.73301,            0.023726,           0.0039374,                   0,            0.004555,            0.004555,            0.004555
                  24,            0.026218,           0.0091273,                   0,              0.9355,             0.88235,             0.97848,             0.70146,            0.026394,           0.0038621,                   0,           0.0043075,           0.0043075,           0.0043075
                  25,            0.026539,           0.0097873,                   0,             0.94607,             0.94118,             0.98303,             0.77805,             0.02239,           0.0037502,                   0,             0.00406,             0.00406,             0.00406
                  26,            0.027573,           0.0089288,                   0,             0.96968,              0.9407,             0.98435,             0.76723,            0.022268,           0.0036793,                   0,           0.0038125,           0.0038125,           0.0038125
                  27,            0.024132,           0.0080793,                   0,             0.91395,             0.94118,             0.98271,             0.77115,            0.022388,           0.0036557,                   0,            0.003565,            0.003565,            0.003565
                  28,            0.023989,           0.0083452,                   0,             0.96931,             0.92918,             0.98321,             0.77852,            0.020896,           0.0036097,                   0,           0.0033175,           0.0033175,           0.0033175
                  29,            0.023899,           0.0081292,                   0,             0.93975,             0.91768,             0.98144,             0.77659,              0.0221,            0.003484,                   0,             0.00307,             0.00307,             0.00307
                  30,            0.023549,           0.0084353,                   0,              0.9158,             0.94118,             0.97888,             0.76767,            0.023259,           0.0034745,                   0,           0.0028225,           0.0028225,           0.0028225
                  31,            0.022472,           0.0081113,                   0,             0.93581,             0.85294,             0.97865,             0.79676,            0.024598,           0.0034428,                   0,            0.002575,            0.002575,            0.002575
                  32,            0.023514,            0.008304,                   0,             0.96766,             0.88001,             0.97743,             0.76381,            0.024817,           0.0034653,                   0,           0.0023275,           0.0023275,           0.0023275
                  33,            0.022274,           0.0090648,                   0,             0.96767,             0.88033,             0.97915,             0.78788,            0.019633,            0.003502,                   0,             0.00208,             0.00208,             0.00208
                  34,            0.020641,           0.0076723,                   0,              0.9676,             0.87851,              0.9809,             0.81759,            0.020159,           0.0034606,                   0,           0.0018325,           0.0018325,           0.0018325
                  35,            0.020205,           0.0087944,                   0,             0.96353,             0.91176,             0.98103,             0.81894,            0.019218,           0.0034307,                   0,            0.001585,            0.001585,            0.001585
                  36,            0.019174,           0.0071484,                   0,             0.96709,              0.8644,             0.98027,             0.80393,            0.021572,           0.0034273,                   0,           0.0013375,           0.0013375,           0.0013375
                  37,            0.019151,            0.007842,                   0,             0.96669,             0.85359,             0.98027,             0.81629,            0.020451,           0.0034134,                   0,             0.00109,             0.00109,             0.00109
                  38,            0.018909,           0.0082036,                   0,             0.96704,             0.86328,             0.97827,             0.80437,            0.020298,           0.0034136,                   0,           0.0008425,           0.0008425,           0.0008425
                  39,            0.019712,           0.0078215,                   0,             0.96717,             0.86658,              0.9779,             0.83062,            0.019585,           0.0034031,                   0,            0.000595,            0.000595,            0.000595
